segment_id,annotation_id,start_sec,end_sec,speaker,emotion,vocal_delivery,transcript_len
98,9,0.0,4.96,Speaker 2,confused,calm,16
99,9,6.08,11.26,Speaker 3,happy,laughing,108
100,9,12.17,17.23,N/A,neutral,whisper,18
101,9,18.25,23.26,Speaker 2,happy,emphatic,100
102,9,24.33,30.36,Speaker 3,excited,whisper,10
103,9,30.42,36.23,N/A,frustrated,whisper,91
104,9,36.5,42.38,N/A,neutral,monotone,8
105,9,42.58,47.27,Speaker 3,sad,whisper,11
106,9,48.67,53.72,Speaker 1,happy,emphatic,21
107,9,54.75,60.27,Speaker 1,neutral,hesitant,101
108,9,60.83,65.19,Speaker 3,frustrated,emphatic,18
109,9,66.92,71.62,N/A,angry,fast,22
110,10,0.0,3.06,Speaker 1,confused,hesitant,86
111,10,3.65,6.8,Speaker 1,confused,hesitant,75
112,10,7.3,10.18,N/A,anxious,emphatic,108
113,10,10.95,13.84,N/A,confused,calm,30
114,10,14.6,17.57,Speaker 3,anxious,whisper,37
115,10,18.25,20.83,N/A,anxious,calm,72
116,10,21.9,25.4,Speaker 1,confused,laughing,115
117,10,25.55,29.09,Speaker 2,frustrated,fast,81
118,10,29.2,31.96,Speaker 3,angry,whisper,12
119,10,32.85,36.39,Speaker 1,anxious,laughing,56
120,10,36.5,39.09,Speaker 3,angry,calm,116
121,10,40.15,43.03,N/A,angry,fast,16
122,10,43.8,47.22,Speaker 3,anxious,laughing,21
123,10,47.45,50.29,N/A,anxious,whisper,111
124,10,51.1,54.03,Speaker 1,confused,calm,18
125,10,54.75,58.13,Speaker 2,excited,laughing,102
126,10,58.4,61.57,Speaker 1,excited,calm,33
127,10,62.05,65.19,N/A,frustrated,whisper,95
128,10,65.7,68.99,N/A,frustrated,calm,86
129,10,69.35,72.16,Speaker 1,frustrated,monotone,28
130,11,0.0,2.39,Speaker 2,excited,emphatic,47
131,11,3.27,6.23,N/A,angry,emphatic,83
132,11,6.55,8.94,N/A,excited,hesitant,4
133,11,9.82,12.8,Speaker 2,confused,emphatic,30
134,11,13.1,16.23,Speaker 1,frustrated,monotone,115
135,11,16.38,19.63,Speaker 3,neutral,emphatic,35
136,11,19.65,22.13,Speaker 1,confused,calm,84
137,11,22.92,25.43,Speaker 1,neutral,laughing,42
138,11,26.2,28.73,Speaker 2,sad,calm,106
139,11,29.47,32.52,Speaker 2,sad,laughing,111
140,11,32.75,35.27,Speaker 2,neutral,hesitant,109
141,11,36.02,39.28,Speaker 2,anxious,laughing,22
142,12,0.0,4.62,Speaker 3,neutral,fast,94
143,12,6.55,11.96,Speaker 1,happy,emphatic,57
144,12,13.1,19.21,Speaker 1,confused,monotone,28
145,12,19.65,26.09,Speaker 1,anxious,emphatic,82
146,12,26.2,32.68,Speaker 1,confused,laughing,51
147,12,32.75,38.17,Speaker 1,confused,whisper,116
148,13,0.0,3.22,Speaker 3,excited,monotone,67
149,13,4.37,7.81,N/A,happy,laughing,89
150,13,8.73,11.94,Speaker 2,excited,emphatic,113
151,13,13.1,16.46,Speaker 3,confused,emphatic,53
152,13,17.47,21.48,Speaker 3,excited,hesitant,85
153,13,21.83,25.22,Speaker 2,confused,calm,11
154,13,26.2,30.35,Speaker 1,excited,calm,95
155,13,30.57,34.59,Speaker 2,neutral,monotone,71
156,13,34.93,38.73,Speaker 1,excited,hesitant,111
157,14,0.0,3.02,Speaker 1,frustrated,laughing,71
158,14,3.93,7.11,Speaker 3,sad,laughing,54
159,14,7.86,11.61,Speaker 1,anxious,calm,23
160,14,11.79,14.86,Speaker 3,frustrated,hesitant,0
161,14,15.72,18.68,Speaker 2,excited,calm,18
162,14,19.65,23.27,Speaker 1,happy,whisper,67
163,14,23.58,26.58,N/A,confused,hesitant,20
164,14,27.51,30.7,Speaker 3,happy,calm,19
165,14,31.44,34.38,Speaker 1,happy,hesitant,56
166,14,35.37,38.9,N/A,confused,emphatic,34
167,14,39.3,42.31,Speaker 1,frustrated,emphatic,14
168,14,43.23,46.31,N/A,anxious,calm,28
169,14,47.16,50.38,Speaker 1,neutral,fast,38
170,14,51.09,54.96,Speaker 2,anxious,hesitant,41
171,14,55.02,57.91,N/A,excited,fast,16
172,14,58.95,62.15,Speaker 2,frustrated,calm,50
173,14,62.88,66.65,Speaker 1,excited,calm,58
174,14,66.81,70.65,Speaker 3,excited,monotone,51
175,14,70.74,74.33,N/A,anxious,calm,51
176,14,74.67,77.45,Speaker 3,angry,laughing,79
177,15,0.0,3.06,N/A,anxious,whisper,43
178,15,3.57,6.31,Speaker 2,happy,monotone,81
179,15,7.15,9.77,Speaker 2,frustrated,hesitant,93
180,15,10.72,14.25,Speaker 2,sad,calm,18
181,15,14.29,17.07,Speaker 2,angry,laughing,97
182,15,17.86,21.07,Speaker 2,confused,emphatic,96
183,15,21.44,24.54,N/A,frustrated,laughing,80
184,15,25.01,27.85,N/A,happy,emphatic,56
185,15,28.58,31.76,Speaker 3,neutral,hesitant,64
186,15,32.15,34.73,N/A,confused,calm,7
187,15,35.73,38.62,Speaker 3,happy,whisper,110
188,15,39.3,42.85,Speaker 1,excited,emphatic,74
189,15,42.87,45.97,Speaker 1,confused,laughing,73
190,15,46.45,49.65,Speaker 3,confused,monotone,19
191,15,50.02,53.55,N/A,happy,laughing,115
192,15,53.59,56.99,Speaker 1,angry,calm,31
193,15,57.16,60.42,N/A,angry,hesitant,47
194,15,60.74,64.22,N/A,excited,laughing,43
195,15,64.31,67.54,Speaker 1,frustrated,calm,42
196,15,67.88,70.48,N/A,anxious,hesitant,92
197,15,71.45,74.87,Speaker 2,frustrated,calm,74
198,15,75.03,78.24,Speaker 3,anxious,whisper,89
199,16,0.0,5.06,Speaker 1,excited,monotone,46
200,16,5.61,9.57,Speaker 3,angry,fast,43
201,16,11.23,16.75,N/A,sad,fast,17
202,16,16.84,21.03,Speaker 3,happy,monotone,98
203,16,22.46,27.3,Speaker 1,frustrated,laughing,79
204,16,28.07,32.22,N/A,angry,fast,23
205,16,33.69,39.02,Speaker 2,confused,calm,52
206,16,39.3,43.84,Speaker 2,confused,monotone,36
207,16,44.91,50.11,N/A,sad,monotone,30
208,16,50.53,54.98,N/A,sad,hesitant,86
209,16,56.14,61.67,N/A,confused,laughing,36
210,16,61.76,67.0,N/A,angry,laughing,25
211,16,67.37,72.65,Speaker 2,anxious,calm,82
212,16,72.99,77.73,Speaker 3,happy,whisper,108
213,17,0.0,4.72,Speaker 1,sad,laughing,57
214,17,4.97,9.77,Speaker 1,excited,calm,50
215,17,9.94,14.17,Speaker 2,excited,calm,47
216,17,14.91,18.73,Speaker 3,happy,laughing,91
217,17,19.89,24.34,Speaker 2,angry,calm,36
218,17,24.86,29.71,N/A,angry,laughing,90
219,17,29.83,34.01,Speaker 1,happy,calm,32
220,17,34.8,38.6,Speaker 2,excited,calm,99
221,17,39.77,43.68,Speaker 3,happy,calm,30
222,17,44.74,48.85,N/A,happy,calm,107
223,17,49.71,54.54,Speaker 1,sad,whisper,18
224,17,54.69,58.6,Speaker 1,frustrated,fast,73
225,17,59.66,63.76,Speaker 1,frustrated,calm,67
226,17,64.63,68.92,Speaker 1,excited,laughing,60
227,18,0.0,3.58,Speaker 1,frustrated,fast,5
228,18,4.64,8.38,Speaker 3,angry,laughing,99
229,18,9.28,13.48,N/A,angry,laughing,17
230,18,13.92,17.26,N/A,neutral,hesitant,25
231,18,18.56,21.87,Speaker 2,neutral,hesitant,119
232,18,23.2,26.88,N/A,confused,hesitant,4
233,18,27.84,32.14,Speaker 2,anxious,hesitant,110
234,18,32.48,36.81,Speaker 3,anxious,calm,102
235,18,37.12,40.88,N/A,confused,emphatic,43
236,18,41.76,46.36,N/A,confused,hesitant,118
237,18,46.4,50.76,Speaker 3,happy,whisper,54
238,18,51.04,54.4,Speaker 2,anxious,hesitant,13
239,18,55.68,59.04,Speaker 3,anxious,emphatic,77
240,18,60.32,64.57,Speaker 2,confused,hesitant,57
241,18,64.96,68.27,Speaker 3,excited,hesitant,81
242,19,0.0,3.83,N/A,neutral,fast,8
243,19,4.01,7.11,Speaker 3,frustrated,emphatic,72
244,19,8.03,10.87,Speaker 2,confused,hesitant,47
245,19,12.04,15.38,Speaker 1,angry,monotone,46
246,19,16.05,19.34,Speaker 3,sad,calm,3
247,19,20.06,23.76,N/A,excited,monotone,15
248,19,24.07,27.2,Speaker 3,confused,fast,78
249,19,28.09,31.24,N/A,sad,calm,17
250,20,0.0,6.21,Speaker 2,angry,laughing,46
251,20,6.42,11.89,Speaker 1,sad,laughing,17
252,20,12.84,17.79,N/A,neutral,hesitant,70
253,20,19.26,24.86,N/A,angry,monotone,113
254,20,25.68,30.34,Speaker 3,excited,whisper,92
255,21,0.0,4.07,Speaker 2,angry,emphatic,64
256,21,5.07,10.01,Speaker 1,happy,monotone,19
257,21,10.14,14.15,Speaker 2,frustrated,whisper,28
258,21,15.21,19.29,Speaker 3,happy,hesitant,25
259,21,20.28,24.8,Speaker 3,angry,whisper,38
260,21,25.35,29.84,Speaker 1,angry,monotone,120
261,21,30.42,34.86,Speaker 2,frustrated,laughing,118
262,21,35.49,39.9,Speaker 1,happy,calm,82
263,21,40.56,45.29,Speaker 3,sad,laughing,73
264,21,45.64,49.82,Speaker 1,confused,whisper,69
265,21,50.71,54.7,Speaker 3,confused,fast,103
266,21,55.78,60.55,N/A,anxious,emphatic,9
267,21,60.85,65.44,Speaker 2,confused,emphatic,61
268,21,65.92,70.17,Speaker 3,angry,hesitant,110
269,21,70.99,75.63,Speaker 3,excited,fast,97
270,21,76.06,80.17,Speaker 1,frustrated,fast,59
271,21,81.13,84.87,N/A,sad,fast,12
272,22,0.0,5.04,N/A,confused,emphatic,112
273,22,5.42,9.72,Speaker 1,happy,emphatic,64
274,22,10.85,15.39,Speaker 2,sad,monotone,45
275,22,16.27,20.14,Speaker 3,confused,monotone,112
276,22,21.69,26.86,N/A,anxious,monotone,1
277,22,27.12,32.29,N/A,angry,hesitant,93
278,22,32.54,36.93,N/A,frustrated,calm,51
279,22,37.96,41.84,Speaker 2,frustrated,monotone,36
280,22,43.38,47.3,N/A,anxious,laughing,79
281,22,48.81,53.71,Speaker 1,angry,calm,50
282,22,54.23,58.63,Speaker 3,frustrated,laughing,18
283,22,59.65,63.77,N/A,neutral,calm,4
284,22,65.08,69.1,Speaker 3,confused,monotone,58
285,23,0.0,6.15,N/A,anxious,emphatic,104
286,23,7.0,11.93,Speaker 3,happy,emphatic,74
287,23,14.0,19.55,Speaker 1,confused,hesitant,83
288,23,21.0,27.54,Speaker 2,neutral,monotone,61
289,23,28.0,33.26,N/A,angry,laughing,87
290,23,35.0,40.41,Speaker 1,sad,calm,56
291,23,42.0,47.56,Speaker 2,excited,whisper,26
292,23,49.0,54.76,N/A,neutral,whisper,17
293,23,56.0,61.99,Speaker 3,confused,monotone,48
294,23,63.0,68.56,Speaker 2,confused,monotone,43
295,23,70.0,76.05,Speaker 3,confused,fast,31
296,24,0.0,5.0,Speaker 3,anxious,calm,73
297,24,5.92,11.27,N/A,excited,laughing,44
298,24,11.85,17.69,Speaker 2,anxious,calm,36
299,24,17.77,23.61,Speaker 1,frustrated,emphatic,83
300,24,23.69,28.29,N/A,sad,fast,105
301,24,29.62,34.72,Speaker 3,angry,calm,78
302,24,35.54,41.0,Speaker 2,sad,calm,85
303,24,41.46,47.22,Speaker 2,sad,calm,12
304,24,47.38,52.27,N/A,happy,whisper,98
305,24,53.31,57.7,Speaker 2,excited,whisper,119
306,24,59.23,64.94,N/A,confused,whisper,25
307,24,65.15,70.64,Speaker 3,frustrated,hesitant,82
308,24,71.08,75.33,Speaker 1,sad,monotone,94
309,25,0.0,3.02,Speaker 2,anxious,calm,1
310,25,3.23,5.77,Speaker 1,frustrated,hesitant,58
311,25,6.45,9.66,N/A,angry,laughing,64
312,25,9.68,12.39,Speaker 2,happy,hesitant,20
313,25,12.9,15.86,Speaker 3,angry,calm,94
314,25,16.12,18.71,Speaker 3,sad,fast,78
315,25,19.35,22.44,N/A,excited,monotone,41
316,25,22.58,24.92,Speaker 1,angry,fast,61
317,25,25.8,28.37,Speaker 2,neutral,hesitant,49
318,25,29.03,31.51,Speaker 3,frustrated,hesitant,74
319,25,32.25,35.21,Speaker 1,anxious,whisper,46
320,25,35.48,38.4,Speaker 1,happy,emphatic,39
321,26,0.0,5.93,Speaker 2,confused,fast,58
322,26,7.74,14.89,Speaker 3,excited,whisper,70
323,26,15.48,23.02,Speaker 2,sad,whisper,96
324,26,23.22,30.02,Speaker 1,confused,monotone,90
325,26,30.96,37.22,Speaker 1,neutral,laughing,70
326,27,0.0,5.28,N/A,happy,monotone,57
327,27,5.77,11.2,N/A,angry,monotone,53
328,27,11.53,16.36,Speaker 1,confused,whisper,103
329,27,17.3,21.87,Speaker 1,excited,hesitant,104
330,27,23.07,27.11,Speaker 2,happy,calm,54
331,27,28.83,33.47,Speaker 1,neutral,calm,119
332,28,0.0,4.02,Speaker 2,frustrated,calm,22
333,28,4.94,9.88,N/A,angry,whisper,28
334,28,9.89,14.58,Speaker 1,anxious,emphatic,86
335,28,14.83,19.35,N/A,excited,laughing,29
336,28,19.77,23.6,Speaker 3,angry,hesitant,24
337,28,24.71,29.56,Speaker 1,neutral,laughing,84
338,28,29.66,33.74,Speaker 1,sad,fast,8
339,29,0.0,4.46,Speaker 1,excited,emphatic,29
340,29,5.77,10.74,Speaker 1,angry,monotone,37
341,29,11.53,15.98,Speaker 3,frustrated,fast,38
342,29,17.3,22.85,Speaker 2,excited,hesitant,35
343,29,23.07,27.21,Speaker 2,excited,monotone,63
344,29,28.83,32.95,Speaker 3,excited,laughing,67
345,30,0.0,6.5,N/A,excited,monotone,67
346,30,6.67,11.62,Speaker 2,anxious,fast,42
347,30,13.35,19.32,N/A,frustrated,calm,68
348,30,20.02,26.15,Speaker 2,neutral,hesitant,48
349,30,26.7,32.72,Speaker 1,happy,fast,102
350,30,33.38,39.57,Speaker 2,confused,fast,111
351,30,40.05,46.54,Speaker 3,neutral,fast,119
352,30,46.72,51.78,Speaker 1,confused,fast,89
353,30,53.4,59.28,Speaker 2,excited,fast,70
354,30,60.07,65.39,Speaker 3,excited,emphatic,68
355,30,66.75,72.72,Speaker 3,anxious,hesitant,65
356,30,73.42,79.87,N/A,happy,laughing,92
357,31,0.0,3.21,Speaker 1,anxious,monotone,119
358,31,3.48,6.52,N/A,anxious,fast,25
359,31,6.95,9.73,N/A,sad,emphatic,70
360,31,10.43,13.54,Speaker 3,anxious,laughing,105
361,31,13.9,16.84,N/A,confused,fast,93
362,31,17.38,20.64,Speaker 2,angry,whisper,69
363,31,20.85,23.79,Speaker 1,neutral,laughing,108
364,31,24.33,26.83,Speaker 1,neutral,emphatic,17
365,32,0.0,3.05,Speaker 1,neutral,monotone,70
366,32,3.4,6.2,Speaker 1,anxious,monotone,36
367,32,6.8,9.2,N/A,angry,calm,117
368,32,10.2,12.68,Speaker 2,sad,fast,79
369,32,13.6,16.52,Speaker 3,anxious,laughing,50
370,32,17.0,19.46,N/A,confused,monotone,31
371,32,20.4,23.79,Speaker 2,anxious,whisper,105
372,32,23.8,27.04,Speaker 1,happy,emphatic,48
373,32,27.2,29.96,N/A,neutral,whisper,1
374,32,30.6,33.7,Speaker 1,confused,laughing,55
375,32,34.0,37.04,Speaker 3,happy,monotone,117
376,32,37.4,39.82,Speaker 2,confused,hesitant,5
377,32,40.8,44.12,Speaker 3,neutral,fast,118
378,32,44.2,47.45,Speaker 1,sad,monotone,18
379,32,47.6,50.75,N/A,happy,hesitant,20
380,32,51.0,53.96,N/A,frustrated,emphatic,96
381,32,54.4,57.53,Speaker 1,frustrated,calm,12
382,32,57.8,60.63,Speaker 1,frustrated,monotone,98
383,32,61.2,64.21,N/A,frustrated,calm,81
384,32,64.6,67.26,N/A,confused,fast,45
385,33,0.0,4.5,Speaker 2,excited,whisper,100
386,33,6.21,11.74,N/A,frustrated,hesitant,13
387,33,12.42,16.94,Speaker 3,confused,hesitant,97
388,33,18.63,23.48,Speaker 2,happy,fast,55
389,33,24.84,30.02,N/A,happy,calm,11
390,33,31.05,36.06,Speaker 1,frustrated,laughing,49
391,33,37.26,41.63,N/A,excited,laughing,10
392,33,43.47,49.17,Speaker 2,angry,whisper,48
393,33,49.68,54.34,Speaker 3,anxious,hesitant,63
394,33,55.89,60.51,Speaker 2,excited,hesitant,53
395,34,0.0,6.9,Speaker 3,confused,hesitant,55
396,34,7.33,14.25,Speaker 2,anxious,hesitant,77
397,34,14.66,21.87,Speaker 2,confused,hesitant,22
398,34,21.99,29.24,Speaker 3,anxious,whisper,88
399,34,29.31,35.84,Speaker 2,frustrated,emphatic,35
400,34,36.64,43.57,N/A,frustrated,calm,119
401,34,43.97,50.34,Speaker 2,neutral,whisper,59
402,35,0.0,5.78,Speaker 2,anxious,fast,32
403,35,6.41,12.17,N/A,excited,calm,57
404,35,12.82,19.22,N/A,excited,monotone,64
405,35,19.24,25.5,N/A,neutral,laughing,46
406,35,25.65,31.49,Speaker 1,happy,laughing,31
407,35,32.06,37.82,Speaker 3,angry,whisper,78
408,35,38.48,43.05,N/A,frustrated,laughing,55
409,35,44.89,49.58,Speaker 1,anxious,fast,65
410,36,0.0,4.51,Speaker 1,confused,calm,37
411,36,5.61,10.24,Speaker 1,happy,laughing,120
412,36,11.23,16.39,Speaker 3,anxious,hesitant,58
413,36,16.84,22.09,N/A,frustrated,emphatic,12
414,36,22.45,27.12,N/A,frustrated,calm,38
415,36,28.07,32.07,Speaker 1,neutral,laughing,43
416,36,33.68,38.7,Speaker 2,sad,monotone,22
417,36,39.29,44.15,Speaker 3,excited,emphatic,29
418,36,44.91,50.18,Speaker 2,angry,whisper,84
419,36,50.52,55.18,Speaker 1,sad,emphatic,75
420,36,56.13,60.79,Speaker 1,sad,fast,35
421,36,61.75,66.94,Speaker 1,happy,laughing,111
422,36,67.36,72.19,Speaker 3,frustrated,fast,58
423,36,72.97,77.09,N/A,frustrated,monotone,49
424,36,78.59,83.55,Speaker 1,frustrated,hesitant,108
425,37,0.0,4.46,Speaker 2,anxious,calm,23
426,37,5.61,10.17,Speaker 2,excited,emphatic,76
427,37,11.23,15.39,N/A,excited,fast,62
428,37,16.84,21.84,Speaker 2,angry,emphatic,36
429,37,22.45,26.62,Speaker 3,confused,monotone,6
430,37,28.07,33.45,Speaker 1,confused,fast,24
431,37,33.68,38.98,N/A,excited,whisper,62
432,37,39.29,43.92,N/A,confused,fast,10
433,37,44.91,49.79,Speaker 2,anxious,calm,35
434,37,50.52,54.83,Speaker 3,angry,laughing,58
435,37,56.13,61.02,N/A,happy,monotone,14
436,37,61.75,66.13,Speaker 3,neutral,laughing,92
437,37,67.36,72.03,Speaker 2,excited,calm,94
438,37,72.97,78.3,Speaker 2,anxious,laughing,4
439,37,78.59,83.27,Speaker 3,happy,emphatic,110
440,38,0.0,3.55,Speaker 3,angry,hesitant,90
441,38,4.07,7.28,Speaker 3,happy,fast,96
442,38,8.14,11.95,Speaker 1,anxious,laughing,83
443,38,12.21,15.21,Speaker 2,sad,fast,91
444,38,16.28,19.52,Speaker 2,excited,emphatic,18
445,38,20.35,23.9,Speaker 3,excited,emphatic,57
446,38,24.42,27.36,Speaker 1,excited,monotone,95
447,38,28.49,31.68,Speaker 3,confused,emphatic,41
448,38,32.56,36.12,Speaker 1,confused,whisper,85
449,38,36.63,40.33,Speaker 1,excited,fast,54
450,39,0.0,5.11,Speaker 1,neutral,calm,80
451,39,5.45,10.55,N/A,neutral,calm,118
452,39,10.91,16.13,N/A,confused,calm,54
453,39,16.36,20.51,Speaker 2,anxious,fast,111
454,39,21.81,27.16,Speaker 3,happy,whisper,46
455,39,27.27,31.49,Speaker 3,angry,calm,50
456,39,32.72,37.56,Speaker 2,excited,whisper,11
457,39,38.17,43.14,Speaker 1,sad,emphatic,9
458,39,43.63,47.66,Speaker 2,confused,calm,1
459,39,49.08,54.04,Speaker 1,excited,whisper,16
460,39,54.53,59.13,Speaker 2,excited,calm,93
461,39,59.99,65.12,Speaker 1,frustrated,hesitant,112
462,39,65.44,69.75,N/A,angry,whisper,86
463,39,70.89,74.94,Speaker 1,angry,emphatic,44
464,39,76.35,81.35,Speaker 2,excited,monotone,87
465,40,0.0,5.39,Speaker 3,angry,fast,35
466,40,5.45,10.33,Speaker 2,anxious,laughing,120
467,40,10.91,15.85,Speaker 3,sad,monotone,77
468,40,16.36,21.01,N/A,anxious,whisper,6
469,40,21.81,26.91,Speaker 2,confused,emphatic,14
470,40,27.27,31.48,Speaker 1,neutral,hesitant,119
471,40,32.72,37.06,N/A,excited,hesitant,69
472,40,38.17,43.11,N/A,happy,calm,75
473,40,43.63,47.55,Speaker 3,sad,calm,118
474,40,49.08,53.0,N/A,anxious,whisper,91
475,40,54.53,59.17,N/A,excited,whisper,51
476,40,59.99,63.94,Speaker 2,anxious,calm,39
477,40,65.44,69.39,Speaker 2,angry,monotone,41
478,40,70.89,75.35,Speaker 1,anxious,whisper,55
479,40,76.35,81.36,Speaker 2,neutral,fast,11
480,41,0.0,2.47,Speaker 3,anxious,fast,47
481,41,3.3,5.74,Speaker 3,happy,laughing,115
482,41,6.6,8.94,N/A,anxious,monotone,8
483,41,9.9,12.47,Speaker 1,confused,emphatic,65
484,41,13.2,15.87,N/A,angry,hesitant,20
485,41,16.5,19.06,Speaker 1,happy,fast,94
486,41,19.8,22.61,Speaker 1,neutral,fast,5
487,41,23.1,25.88,N/A,angry,fast,119
488,42,0.0,4.13,Speaker 1,frustrated,calm,64
489,42,5.28,10.04,Speaker 1,angry,fast,102
490,42,10.56,15.07,Speaker 1,excited,calm,112
491,42,15.84,20.27,Speaker 3,anxious,hesitant,11
492,42,21.12,25.69,Speaker 1,frustrated,fast,37
493,43,0.0,8.09,Speaker 2,angry,calm,119
494,43,8.8,16.04,Speaker 2,frustrated,whisper,107
495,43,17.6,25.59,Speaker 1,frustrated,calm,97
496,44,0.0,5.55,Speaker 2,excited,whisper,114
497,44,7.63,13.82,Speaker 1,happy,monotone,17
498,44,15.26,22.06,N/A,happy,monotone,72
499,44,22.89,28.37,Speaker 2,sad,hesitant,33
500,44,30.51,37.8,N/A,frustrated,hesitant,57
501,44,38.14,44.11,Speaker 1,sad,fast,99
502,44,45.77,52.87,Speaker 1,angry,calm,21
503,45,0.0,3.2,Speaker 1,happy,fast,103
